name,short_code,type,region,district,latitude,longitude,zone
KASHASHA,102428-0,private,Kagera,Missenyi DC,-1.22897,31.64319,lake
KASHASHI,102427-2,public,Kilimanjaro,Siha DC,-3.2097,37.1224,northern
KASHAULILI,108697-4,private,Katavi,Mpanda MC,-6.344848,31.074057,shighland
KASHENYE,102431-4,public,Kagera,Missenyi DC,-1.00699,31.75645,lake
KASHIMBA,113328-9,private,Mwanza,Ilemela MC,-2.532311,32.9397,lake
KASHINDYE,123343-6,private,Dodoma,Dodoma CC,-6.20064,35.71401,central
KASHISHI,102432-2,public,Tabora,Kaliua DC,-4.38537,32.3813,central
KASHISHI,121607-6,public,Katavi,Mpimbwe DC,-7.17112,31.28811,shighland
KASHISHI,123831-0,public,Tabora,Kaliua DC,-4.38537,32.38132,central
KASHISHI,102433-0,public,Geita,Geita DC,-3.07492,32.20141,lake
KASHISHI,102434-8,public,Shinyanga,Msalala DC,-3.52784,32.74006,lake
KASHISHI,102435-5,public,Simiyu,Itilima DC,-3.00501,33.84295,lake
KASHOZI,102436-3,private,Kagera,Bukoba DC,-1.22549,31.80813,lake
KASI,122062-3,private,Dar Es Salaam,Ilala MC,-6.84189,39.21153,coastal
KASIGA,111859-5,private,Morogoro,Ifakara TC,-8.14811,36.68411,coastal
KASILATI,122151-4,private,Mbeya,Mbeya CC,,33.505196,shighland
KASIMANA,102437-1,public,Tabora,Kaliua DC,-4.59867,32.1206,central
KASIMBI,113444-4,private,Dar Es Salaam,Ilala MC,,,coastal
KASIMINGI,114455-9,private,Simiyu,Busega DC,-2.32134,33.6681,lake
KASINDAGA,121047-5,public,Kagera,Muleba DC,-2.263912,31.50757,lake
KASINDE,109717-9,public,Songwe,Momba DC,-8.931355,32.13484,shighland
KASINDE,112411-4,public,Katavi,Tanganyika DC,-6.29778,30.91999,shighland
KASISA,102439-7,public,Mwanza,Buchosa DC,-2.48777,32.51288,lake
KASISI,102440-5,public,Tabora,Urambo DC,-5.13452,32.13768,central
KASISI,111336-4,public,Kigoma,Uvinza DC,-5.05531,30.96591,central
KASISI B,120782-8,public,Tabora,Uyui DC,-5.05036,32.57936,central
KASITU,102441-3,public,Rukwa,Kalambo DC,-8.45751,31.37496,shighland
KASOKOLA,102442-1,public,Katavi,Mpanda MC,-6.27889,31.06566,shighland
KASOLI,102443-9,public,Simiyu,Bariadi DC,-2.57833,33.67857,lake
KASOMEKO,102444-7,public,Mwanza,Sengerema DC,-2.518219,32.711871,lake
KASONGATI,102445-4,public,Kigoma,Kakonko DC,-3.30533,30.79337,central
KASOTA,109270-9,public,Geita,Geita DC,-2.73586,32.16666,lake
